Para 79: Indent=0, Text='       የተላከው ቅዱስ ገብርኤል ከጌታ  '
Para 80: Indent=0, Text='       ሰላም ለኪ ብሎ በሰጠሽ ሰላምታ '
Para 81: Indent=0, Text='እኔ ባሪያሽ ልብሴን ስታጠቅ ስፈታ '
Para 82: Indent=0, Text='ሰላም ልልሽ ይገባኛል ጠዋት ማታ '
Para 83: Indent=0, Text='       ማርያም ሆይ እመቤቴ ሆይ ድንግል '
Para 84: Indent=0, Text='       በሥጋሽም በህሊናሽም ድንግል'
Para 85: Indent=0, Text='የአሸናፊ የእግዚአብሔር እናት ድንግል '
Para 86: Indent=0, Text='እንዳለሽ ቅዱስ ገብርኤል ሰላም '
Para 87: Indent=0, Text='       ሰላም ለኪ እንደርሱ ሁሉ እኔም '
Para 88: Indent=0, Text='       የሌለብሽ የነፍስ የሥጋ መርገም '
Para 89: Indent=0, Text='ብሩክ ነው የማሕፀንሽ ፍሬም '
Para 90: Indent=0, Text='እንደቀድሞው ብሩክ አምላክ ነው ዛሬም '
Para 91: Indent=0, Text='       እግዚአብሔር ወልድ በመጣ ጊዜ ለካሳ'
Para 92: Indent=0, Text='       እንበለ ዘር እንደ ንብና እንደ ዓሣ'
Para 93: Indent=0, Text='ከነፍስሽ ነፍስ ከስጋፍ ሥጋ ቢነሳ'
Para 94: Indent=0, Text='ደስ ያለሽ ሆይ ጸጋን አግኝተሽ ከጌታ '
Para 95: Indent=0, Text='      ደስ ይበልሽ በማቀርብልሽ ሰላምታ '
Para 96: Indent=0, Text='      ለምኚልን ሳትሰለቺ ጠዋት ማታ '
Para 97: Indent=0, Text='ውድ ልጅሽ እንዲያደርግልን ይቅርታ '
Para 98: Indent=0, Text='ይቅር ብሎ ኃጢአታችንን ሁሉን '
Para 99: Indent=0, Text='      እንዲያድነን በአንቺ ተማፅነን አለን '
Para 100: Indent=0, Text='      ለዓለም ወለዓለም ዓለም አሜን፡፡'
Para 101: Indent=0, Text='ሰላም ለማርያም  (ዘማሪት ሶስና)'
Para 102: Indent=0, Text='ቅኝት -  ሠላምታ'
Para 103: Indent=0, Text='23  1555  1555  11  31132'
Para 104: Indent=0, Text='23  15  31  113  242  45'
Para 105: Indent=0, Text='423-1  113-1  113  242'
Para 106: Indent=0, Text=''
Para 107: Indent=0, Text='ሰላም ለማርያም የአምላክ እናት'
Para 108: Indent=0, Text='የአቤል የዋህት የአዳም ህይወት'
Para 109: Indent=0, Text='እመቤቴ በምልጃሽ መድኃኒቴ ነሽ'
Para 110: Indent=0, Text='       የአብ ቃል መቅረጫ ጽላቱ የሙሴ'
Para 111: Indent=0, Text='       የመንፈስ ቅዱስ ቤት እመቃል ሞገሴ'
Para 112: Indent=0, Text='የርኅራኄ መዝገብ እህተ መላእክት'
Para 113: Indent=0, Text='የጻድቃን ተስፋቸው ጽላተ መለኮት  '
Para 114: Indent=0, Text='        ትናንት ተጨንቀን በጨለማው ዓለም'
Para 115: Indent=0, Text='        ዛሬ ብርሃን አየን በድንግል ማርያም'
Para 116: Indent=0, Text='የኢያቄም እንቁ የሃና ንብረቷ'
Para 117: Indent=0, Text='ሥጋ ነፍሴን እርጂያት ይቅርላት ቅጣቷ'
Para 118: Indent=0, Text='        በወንጌል ሰማነው ድንግል የአንቺን ዜና'
Para 119: Indent=0, Text='        አማላጅነትሽ ሲገለጽ በቃና'
Para 120: Indent=0, Text='ከዳዊትም ሰማን ድንግል ስለአንቺ ክብር'
Para 121: Indent=0, Text='ወትቀውም ንግሥት እያለ ሲዘምር'
Para 122: Indent=0, Text='        በላዔሰብ ከሞት ከሲኦል የዳነው'
Para 123: Indent=0, Text='        በምልጃሽ ነው እንጂ መች በጥርኝ ውሃ ነው'
Para 124: Indent=0, Text='ሊውጡኝ ቢነሱ አጋንንት በመሉ'
Para 125: Indent=0, Text='ስምሽን ስጠራ ትቢያ ይሆናሉ'
Para 126: Indent=0, Text='        ጽዮን እመብርሃን ጽላተ ሥላሴ'
Para 127: Indent=0, Text='        የበረከት ካዝና ደመወዜና ዋሴ'
